"entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","label","direction"
"100132987",33.9296737873484,1.452674307578,0.623443551463841,2.33008153531643,0.0198018421439355,0.18567399749524,"LINC00856","LINC00856","Not significant"
"57134",901.743109734743,0.597753271562695,0.256547237027307,2.32999301995628,0.0198065200373767,0.18567399749524,"MAN1C1","MAN1C1","Not significant"
"11033",23.028841033853,-2.10961263293357,0.905591843275022,-2.32954023227978,0.0198304642279444,0.185727799779696,"ADAP1","ADAP1","Not significant"
"5318",21.8908070023394,-2.16108197613354,0.927757722844139,-2.32936026607088,0.0198399881669711,0.185727799779696,"PKP2","PKP2","Not significant"
"3320",12982.6267470639,0.424893608521456,0.182564769520623,2.32735817341504,0.0199462099603137,0.186591779768409,"HSP90AA1","HSP90AA1","Not significant"
"57511",522.870129254093,0.588129640237982,0.252789597198917,2.32655792309044,0.01998880622093,0.186859768412825,"COG6","COG6","Not significant"
"6419",334.613021780703,-0.696294819043994,0.299380352297557,-2.32578662460768,0.0200299365370752,0.186999422609709,"SETMAR","SETMAR","Not significant"
"10285",557.210269281476,-0.480698439139319,0.206684965579968,-2.32575425982463,0.0200316640373942,0.186999422609709,"SMNDC1","SMNDC1","Not significant"
"3091",6198.25262131689,-0.494338461653116,0.212777980944273,-2.32325948135858,0.0201652171046835,0.188001229653593,"HIF1A","HIF1A","Not significant"
"7316",8620.88487420064,-0.395568845956138,0.170281525290365,-2.32302855686554,0.020177618393171,0.188001229653593,"UBC","UBC","Not significant"
"3635",19.7761016674664,1.86791841720164,0.80410989726366,2.32296409179648,0.0201810815349259,0.188001229653593,"INPP5D","INPP5D","Not significant"
"123720",276.477627826264,-0.564301453050403,0.242966340802197,-2.32254991035903,0.0202033442379533,0.188077831418779,"WHAMM","WHAMM","Not significant"
"23233",579.253935041817,0.473919119659781,0.20409237994571,2.32208140149989,0.0202285529259214,0.188181732635863,"EXOC6B","EXOC6B","Not significant"
"25987",801.222826528122,-0.881076734825915,0.379531888743286,-2.3214827553578,0.020260803743005,0.188350955545659,"TSKU","TSKU","Not significant"
"116841",441.642174213172,0.495394110054432,0.213595319320599,2.31931163861724,0.0203781448190413,0.189213769084196,"SNAP47","SNAP47","Not significant"
"8916",556.450727399307,-0.541150864932805,0.233330819726704,-2.31924297684569,0.0203818653917957,0.189213769084196,"HERC3","HERC3","Not significant"
"100506550",272.715480615227,-0.568211647106452,0.245033561700099,-2.31891355275608,0.0203997241244847,0.189248410229638,NA,"100506550","Not significant"
"5336",26.6100663216324,-1.65828045122534,0.715346863743663,-2.3181487684827,0.0204412372303383,0.189502293382431,"PLCG2","PLCG2","Not significant"
"51379",222.871952900939,-0.73667209774364,0.317878501732184,-2.31746435738612,0.0204784500700986,0.18971598695646,"CRLF3","CRLF3","Not significant"
"5292",709.898977001135,0.846339025328342,0.365320790300825,2.31670095926219,0.0205200272897808,0.189866987994171,"PIM1","PIM1","Not significant"
"81575",52.7715412899038,1.13815259977584,0.491293558514333,2.31664466193614,0.0205230963433532,0.189866987994171,"APOLD1","APOLD1","Not significant"
"284611",602.46298446814,0.554049228247456,0.239266128403731,2.31561914736452,0.0205790724607906,0.190253453888717,"EEIG2","EEIG2","Not significant"
"2108",1122.01482084165,-0.451878309021419,0.19521578724285,-2.31476314187273,0.0206258980838409,0.190554848780091,"ETFA","ETFA","Not significant"
"5376",6173.4682840334,0.360947326959847,0.155972111155396,2.3141786328726,0.020657925527318,0.190719207693971,"PMP22","PMP22","Not significant"
"10561",190.026220508834,0.747604218063641,0.323101394373165,2.31383779545129,0.0206766212965515,0.190760343587193,"IFI44","IFI44","Not significant"
"7551",369.255854781892,0.515851833107295,0.223097937888525,2.31222143059454,0.0207654838752467,0.191448328969583,"ZNF3","ZNF3","Not significant"
"55824",221.893485632737,0.717728935711991,0.310512072914869,2.31143648932699,0.0208087574032443,0.19171534674956,"PAG1","PAG1","Not significant"
"7466",1757.58625108298,-0.424399549815733,0.183689301470421,-2.31042062013652,0.0208648785849492,0.192100284208921,"WFS1","WFS1","Not significant"
"6470",133.232682586075,-0.981101154329588,0.424734228614811,-2.30991779854725,0.0208927054860699,0.192224369980352,"SHMT1","SHMT1","Not significant"
"10762",1201.20257971275,-0.483432262988667,0.209345178469879,-2.30925912181074,0.0209292065779897,0.192428037967571,"NUP50","NUP50","Not significant"
"8499",37.8317781355487,-1.54182403116296,0.668061531354226,-2.30790721932084,0.0210042974480162,0.192985986703447,"PPFIA2","PPFIA2","Not significant"
"353091",71.1334005427149,0.945949874217334,0.41001520195568,2.30710927230348,0.0210487291761039,0.193190549143203,"RAET1G","RAET1G","Not significant"
"1620",23.9389610816019,1.61287376324735,0.699124878541061,2.30698951325135,0.0210554047289547,0.193190549143203,"BRINP1","BRINP1","Not significant"
"858",1280.5805306127,-0.648603685098612,0.281246425117509,-2.30617574899882,0.021100814066534,0.193474678463579,"CAV2","CAV2","Not significant"
"5355",918.568481855118,-0.54889968206409,0.238058207782922,-2.3057372697883,0.0211253172579412,0.193566860456485,"PLP2","PLP2","Not significant"
"3679",2132.02090616716,0.532991532372771,0.231245076270356,2.30487732309436,0.0211734449783175,0.193875235085127,"ITGA7","ITGA7","Not significant"
"80233",457.183255312654,0.506241991248785,0.219700069993845,2.3042413744473,0.0212090978480303,0.194069040144955,"FAAP100","FAAP100","Not significant"
"6324",74.2271241417356,0.984144336343086,0.427888247835659,2.3000031931727,0.021448039137769,0.19612145548775,"SCN1B","SCN1B","Not significant"
"9531",1071.08300509961,-0.436646512750026,0.18990319590648,-2.29931102878889,0.0214872840101289,0.196217433204445,"BAG3","BAG3","Not significant"
"25816",1292.47328545662,-0.506863771729183,0.220442509764062,-2.29930140185609,0.021487830285975,0.196217433204445,"TNFAIP8","TNFAIP8","Not significant"
"8771",46.2700841915494,1.24350928886926,0.540894601826425,2.29898631761222,0.0215057162713299,0.196225969368577,"TNFRSF6B","TNFRSF6B","Not significant"
"8029",31.7935232270877,1.45476211453733,0.632908262763583,2.29853550684445,0.0215313294109349,0.196225969368577,"CUBN","CUBN","Not significant"
"4291",150.611408133029,0.812381332185246,0.353474415578635,2.2982747728867,0.0215461553180992,0.196225969368577,"MLF1","MLF1","Not significant"
"256227",142.240907937445,-0.858163064874851,0.373405447894214,-2.29820713574048,0.0215500027667424,0.196225969368577,"STEAP1B","STEAP1B","Not significant"
"284371",208.983293042486,0.621841991603388,0.270606750576364,2.29795446816804,0.0215643807148933,0.196225969368577,"ZNF841","ZNF841","Not significant"
"9760",162.650622156729,0.775682009301331,0.3376084785057,2.29757858195565,0.0215857858241032,0.196225969368577,"TOX","TOX","Not significant"
"729420",17.9702437016584,1.9672185638115,0.856249911862813,2.29748177086725,0.0215913017952584,0.196225969368577,"LMO7DN","LMO7DN","Not significant"
"817",3565.7936217922,-0.418378452660627,0.182177060755958,-2.29654848379117,0.0216445403261929,0.196466808382625,"CAMK2D","CAMK2D","Not significant"
"285381",771.876617361716,-0.490191159241779,0.213451123525636,-2.29650306423853,0.0216471341574167,0.196466808382625,"DPH3","DPH3","Not significant"
"5818",137.533381073345,0.811643400725905,0.353542396114792,2.29574560122168,0.0216904314448587,0.196726485873614,"NECTIN1","NECTIN1","Not significant"
"6510",4899.46502990169,-0.417593792118866,0.181958952003201,-2.29498899351497,0.0217337550713381,0.196986050700707,"SLC1A5","SLC1A5","Not significant"
"1108",4199.76682566371,0.432566733223898,0.188600141977996,2.29356525762513,0.0218154829231453,0.197483233300178,"CHD4","CHD4","Not significant"
"55343",657.655010301846,-0.519979609231296,0.226716855797227,-2.29351985057679,0.0218180938552003,0.197483233300178,"SLC35C1","SLC35C1","Not significant"
"4860",111.587013070069,-0.951436590967937,0.414966618663793,-2.29280271755737,0.0218593655020325,0.197723200719262,"PNP","PNP","Not significant"
"5049",1540.01380353776,-0.49035960258744,0.213920748716993,-2.2922489077306,0.0218912842247211,0.197878301939517,"PAFAH1B2","PAFAH1B2","Not significant"
"5802",3278.44504020566,-0.568945597002578,0.248273354579486,-2.29160957673542,0.0219281823669503,0.197949943730045,"PTPRS","PTPRS","Not significant"
"2824",533.482406718633,-2.78330664527325,1.21471174104201,-2.2913309810323,0.0219442780689481,0.197949943730045,"GPM6B","GPM6B","Not significant"
"6423",34.0931761803294,1.34588402969364,0.587422392001082,2.29116909402929,0.0219536357158952,0.197949943730045,"SFRP2","SFRP2","Not significant"
"93649",81.0710410814197,-1.04778000753064,0.457382047952944,-2.29082014088677,0.0219738182614894,0.197949943730045,"MYOCD","MYOCD","Not significant"
"23545",401.764209076266,-0.555099075906652,0.242325000690352,-2.29072144568347,0.0219795294639029,0.197949943730045,"ATP6V0A2","ATP6V0A2","Not significant"
"9942",54.1550979862807,1.0926052460415,0.477005931547505,2.29054855250304,0.0219895373986468,0.197949943730045,"XYLB","XYLB","Not significant"
"4643",1868.16178511395,-0.809530640211055,0.353472030500889,-2.29022545026803,0.0220082508230337,0.197949943730045,"MYO1E","MYO1E","Not significant"
"149837",132.540856610251,0.779383612046202,0.340336645540768,2.29003729765222,0.022019154621573,0.197949943730045,"LINC00654","LINC00654","Not significant"
"80704",49.2566153177497,-1.30297558394813,0.569031617368347,-2.28981227787328,0.0220322011123841,0.197949943730045,"SLC19A3","SLC19A3","Not significant"
"8496",1388.51297382367,0.434846231448557,0.190077564348515,2.28773044803568,0.0221532234034594,0.198903874472347,"PPFIBP1","PPFIBP1","Not significant"
"26123",2106.58035679045,0.47121532673979,0.206009069499619,2.28735233785745,0.0221752658832313,0.19896842717466,"TCTN3","TCTN3","Not significant"
"83666",919.187279191396,0.476432270721976,0.208324690632885,2.28696977432001,0.0221975873884939,0.199035395352252,"PARP9","PARP9","Not significant"
